id_producto,sku,category,size,color,stock
37,AN209-BIEGE-M,AN : LEGGINGS,M,Beige,7.0
38,AN209-BIEGE-S,AN : LEGGINGS,S,Beige,4.0
39,AN209-BIEGE-XL,AN : LEGGINGS,XL,Beige,3.0
40,AN209-BIEGE-XXL,AN : LEGGINGS,XXL,Beige,3.0
41,AN210-NAVY-L,AN : LEGGINGS,L,Navy Blue,5.0
42,AN210-NAVY-M,AN : LEGGINGS,M,Navy Blue,3.0
43,AN210-NAVY-S,AN : LEGGINGS,S,Navy Blue,4.0
44,AN210-NAVY-XL,AN : LEGGINGS,XL,Navy Blue,2.0
45,AN210-NAVY-XXL,AN : LEGGINGS,XXL,Navy Blue,2.0
46,AN211-BLACK-L,AN : LEGGINGS,L,Black,2.0
47,AN211-BLACK-M,AN : LEGGINGS,M,Black,1.0
48,AN211-BLACK-S,AN : LEGGINGS,S,Black,7.0
49,AN211-BLACK-XL,AN : LEGGINGS,XL,Black,3.0
50,AN211-BLACK-XXL,AN : LEGGINGS,XXL,Black,3.0
51,AN212-WHITE-L,AN : LEGGINGS,L,White,11.0
52,AN212-WHITE-M,AN : LEGGINGS,M,White,8.0
53,AN212-WHITE-S,AN : LEGGINGS,S,White,13.0
54,AN212-WHITE-XL,AN : LEGGINGS,XL,White,21.0
55,AN212-WHITE-XXL,AN : LEGGINGS,XXL,White,12.0
56,AN213-BROWN-L,AN : LEGGINGS,L,Brown,2.0
57,AN213-BROWN-M,AN : LEGGINGS,M,Brown,7.0
58,AN213-BROWN-S,AN : LEGGINGS,S,Brown,8.0
59,AN213-BROWN-XL,AN : LEGGINGS,XL,Brown,6.0
60,AN213-BROWN-XXL,AN : LEGGINGS,XXL,Brown,8.0
61,BL001-50PINK,BLOUSE,FREE,Pink,33.0
62,BL003-50BLACK,BLOUSE,FREE,Black,117.0
63,BL004-50CHIKU,BLOUSE,FREE,Beige,38.0
64,BL005-54RED,BLOUSE,FREE,Red,16.0
65,BL006-54BLACK,BLOUSE,FREE,Black,112.0
66,#REF!,BLOUSE,FREE,Black,0.0
67,BL007-61PINK,BLOUSE,FREE,Pink,56.0
68,BL008-61RED,BLOUSE,FREE,Red,35.0
69,#REF!,BLOUSE,FREE,Red,0.0
70,BL009-61BLACK,BLOUSE,FREE,Black,575.0
71,BL010-61CHIKU,BLOUSE,FREE,Beige,75.0
72,BL011-62PINK,BLOUSE,FREE,Pink,22.0
73,BL013-62BLACK,BLOUSE,FREE,Black,399.0
74,BL014-62CHIKU,BLOUSE,FREE,Beige,73.0
75,BL015-63PINK,BLOUSE,FREE,Pink,14.0
76,BL016-63RED,BLOUSE,FREE,Red,24.0
77,BL017-63BLACK,BLOUSE,FREE,Black,208.0
78,BL018-63BEIGE,BLOUSE,FREE,Beige,39.0
79,BL019-71PINK,BLOUSE,FREE,Pink,76.0
80,#REF!,BLOUSE,FREE,Pink,0.0
81,BL020-71RED,BLOUSE,FREE,Red,38.0
82,BL021-71BLACK,BLOUSE,FREE,Black,628.0
83,#REF!,BLOUSE,FREE,Black,1.0
84,BL022-71BEIGE,BLOUSE,FREE,Beige,106.0
85,#REF!,BLOUSE,FREE,Beige,0.0
86,BL023-74PINK,BLOUSE,FREE,Pink,50.0
87,BL024-74RED,BLOUSE,FREE,Red,103.0
88,BL025-74BLACK,BLOUSE,FREE,Black,199.0
89,BL026-74BEIGE,BLOUSE,FREE,Beige,98.0
90,BL029-78BLACK,BLOUSE,FREE,Black,201.0
91,BL030-78BEIGE,BLOUSE,FREE,Beige,10.0
92,BL031-79PINK,BLOUSE,FREE,Pink,8.0
93,BL034-150GOLD,BLOUSE,FREE,Gold,31.0
94,BL035-161GOLD,BLOUSE,FREE,Gold,448.0
95,#REF!,BLOUSE,FREE,Gold,0.0
96,BL036-176GOLD,BLOUSE,FREE,Gold,45.0
97,BL040-65PINK,BLOUSE,FREE,Pink,31.0
98,BL041-65RED,BLOUSE,FREE,Red,30.0
99,BL046-82RED,BLOUSE,FREE,Red,23.0
100,BL050-83RED,BLOUSE,FREE,Red,63.0
101,BL051-83BLACK,BLOUSE,FREE,Black,42.0
102,BL053-153GOLD,BLOUSE,FREE,Gold,20.0
103,BL055-164GOLD,BLOUSE,FREE,Gold,68.0
104,BL056-185GOLD,BLOUSE,FREE,Gold,23.0
105,BL057-65BLACK,BLOUSE,FREE,Black,114.0
106,BL058-65BEIGE,BLOUSE,FREE,Beige,20.0
107,BL060-75RED,BLOUSE,FREE,Red,49.0
108,BL061-75BLACK,BLOUSE,FREE,Black,488.0
109,BL073-85BLACK,BLOUSE,FREE,Black,48.0
110,BL074-85RED,BLOUSE,FREE,Red,17.0
111,BL075-85CHIKU,BLOUSE,FREE,Chiku,7.0
112,BL076-86BLACK,BLOUSE,FREE,Black,21.0
113,BL077-86RED,BLOUSE,FREE,Red,8.0
114,BL078-87BLACK,BLOUSE,FREE,Black,18.0
115,BL079-87RED,BLOUSE,FREE,Red,12.0
116,BL080-88BLACK,BLOUSE,FREE,Black,12.0
117,BL081-88PINK,BLOUSE,FREE,Pink,30.0
118,BL082-88CHIKU,BLOUSE,FREE,Beige,9.0
119,BL083-186GOLD,BLOUSE,FREE,Gold,16.0
120,BL084-187GOLD,BLOUSE,FREE,Gold,11.0
121,BL085-L,BLOUSE,L,Orange,24.0
122,BL085-M,BLOUSE,M,Orange,15.0
123,BL085-S,BLOUSE,S,Orange,12.0
124,BL085-XL,BLOUSE,XL,Orange,13.0
125,BL085-XS,BLOUSE,XS,Orange,6.0
126,BL085-XXL,BLOUSE,XXL,Orange,11.0
127,,BLOUSE,FREE,Blue,1.0
128,BL086-L,BLOUSE,L,Blue,4.0
129,BL086-M,BLOUSE,M,Blue,5.0
130,BL086-S,BLOUSE,S,Blue,2.0
131,BL086-XL,BLOUSE,XL,Blue,5.0
132,BL086-XS,BLOUSE,XS,Blue,8.0
133,BL086-XXL,BLOUSE,XXL,Blue,3.0
134,,BLOUSE,FREE,Multicolor,0.0
135,BL087-L,BLOUSE,L,Multicolor,48.0
136,BL087-M,BLOUSE,M,Multicolor,89.0
137,BL087-S,BLOUSE,S,Multicolor,11.0
138,BL087-XL,BLOUSE,XL,Multicolor,5.0
139,BL087-XS,BLOUSE,XS,Multicolor,18.0
140,BL087-XXL,BLOUSE,XXL,Multicolor,86.0
141,BL089-L,BLOUSE,L,Multicolor,4.0
142,BL089-M,BLOUSE,M,Multicolor,4.0
143,BL089-S,BLOUSE,S,Multicolor,3.0
144,BL089-XL,BLOUSE,XL,Multicolor,8.0
145,BL089-XS,BLOUSE,XS,Multicolor,4.0
146,BL089-XXL,BLOUSE,XXL,Multicolor,7.0
147,BL090-L,BLOUSE,L,Peach,30.0
148,BL090-M,BLOUSE,M,Peach,44.0
149,BL090-S,BLOUSE,S,Peach,11.0
150,BL090-XL,BLOUSE,XL,Peach,16.0
151,BL090-XS,BLOUSE,XS,Peach,29.0
152,BL090-XXL,BLOUSE,XXL,Peach,19.0
153,BL091-L,BLOUSE,L,Multicolor,4.0
154,BL091-M,BLOUSE,M,Multicolor,4.0
155,BL091-S,BLOUSE,S,Multicolor,7.0
156,BL091-XL,BLOUSE,XL,Multicolor,3.0
157,BL091-XS,BLOUSE,XS,Multicolor,7.0
158,BL091-XXL,BLOUSE,XXL,Multicolor,3.0
159,BL092-L,BLOUSE,L,Blue,20.0
160,BL092-M,BLOUSE,M,Blue,22.0
161,BL092-S,BLOUSE,S,Blue,13.0
162,BL092-XL,BLOUSE,XL,Blue,27.0
163,BL092-XS,BLOUSE,XS,Blue,17.0
164,BL092-XXL,BLOUSE,XXL,Blue,25.0
165,BL093-L,BLOUSE,L,Grey,2.0
166,BL093-M,BLOUSE,M,Grey,2.0
167,BL093-S,BLOUSE,S,Grey,11.0
168,BL093-XL,BLOUSE,XL,Grey,4.0
169,BL093-XS,BLOUSE,XS,Grey,4.0
170,BL093-XXL,BLOUSE,XXL,Grey,3.0
171,BL095-L,BLOUSE,L,Multicolor,51.0
172,BL095-M,BLOUSE,M,Multicolor,34.0
173,BL095-S,BLOUSE,S,Multicolor,51.0
174,BL095-XL,BLOUSE,XL,Multicolor,26.0
175,BL095-XS,BLOUSE,XS,Multicolor,59.0
176,BL095-XXL,BLOUSE,XXL,Multicolor,32.0
177,BL096-L,BLOUSE,L,Beige,2.0
178,BL096-M,BLOUSE,M,Beige,2.0
179,BL096-S,BLOUSE,S,Beige,8.0
180,BL096-XL,BLOUSE,XL,Beige,2.0
181,BL096-XS,BLOUSE,XS,Beige,8.0
182,BL096-XXL,BLOUSE,XXL,Beige,2.0
183,BL097-L,BLOUSE,L,Maroon,42.0
184,BL097-M,BLOUSE,M,Maroon,25.0
185,BL097-S,BLOUSE,S,Maroon,39.0
186,BL097-XL,BLOUSE,XL,Maroon,11.0
187,BL097-XS,BLOUSE,XS,Maroon,9.0
188,BL097-XXL,BLOUSE,XXL,Maroon,35.0
189,,BLOUSE,XXXL,Maroon,1.0
190,,BLOUSE,FREE,Brown,2.0
191,BL098-L,BLOUSE,L,Brown,25.0
192,BL098-M,BLOUSE,M,Brown,31.0
193,BL098-S,BLOUSE,S,Brown,39.0
194,BL098-XL,BLOUSE,XL,Brown,34.0
195,BL098-XS,BLOUSE,XS,Brown,31.0
196,BL098-XXL,BLOUSE,XXL,Brown,27.0
197,BL099-L,BLOUSE,L,Black,5.0
198,BL099-M,BLOUSE,M,Black,6.0
199,BL099-S,BLOUSE,S,Black,9.0
200,BL099-XL,BLOUSE,XL,Black,6.0
201,BL099-XS,BLOUSE,XS,Black,12.0
202,BL099-XXL,BLOUSE,XXL,Black,4.0
203,BL100-L,BLOUSE,L,Green,4.0
204,BL100-M,BLOUSE,M,Green,5.0
205,BL100-S,BLOUSE,S,Green,6.0
206,BL100-XL,BLOUSE,XL,Green,8.0
207,BL100-XS,BLOUSE,XS,Green,9.0
208,BL100-XXL,BLOUSE,XXL,Green,5.0
209,BL101-L,BLOUSE,L,Grey,2.0
210,BL101-M,BLOUSE,M,Grey,3.0
211,BL101-S,BLOUSE,S,Grey,8.0
212,BL101-XL,BLOUSE,XL,Grey,4.0
213,BL101-XS,BLOUSE,XS,Grey,6.0
214,BL101-XXL,BLOUSE,XXL,Grey,2.0
215,,BLOUSE,FREE,Navy Blue,1.0
216,BL102-L,BLOUSE,L,Navy Blue,7.0
217,BL102-M,BLOUSE,M,Navy Blue,5.0
218,BL102-S,BLOUSE,S,Navy Blue,16.0
219,BL102-XL,BLOUSE,XL,Navy Blue,19.0
220,BL102-XS,BLOUSE,XS,Navy Blue,16.0
221,BL102-XXL,BLOUSE,XXL,Navy Blue,6.0
222,BL103-L,BLOUSE,L,Maroon,7.0
223,BL103-M,BLOUSE,M,Maroon,3.0
224,BL103-S,BLOUSE,S,Maroon,29.0
225,BL103-XL,BLOUSE,XL,Maroon,8.0
226,BL103-XS,BLOUSE,XS,Maroon,27.0
227,BL103-XXL,BLOUSE,XXL,Maroon,4.0
228,BL104-L,BLOUSE,L,Black,32.0
229,BL104-M,BLOUSE,M,Black,49.0
230,BL104-S,BLOUSE,S,Black,14.0
231,BL104-XL,BLOUSE,XL,Black,20.0
232,BL104-XS,BLOUSE,XS,Black,29.0
233,BL104-XXL,BLOUSE,XXL,Black,26.0
234,BL107-L,BLOUSE,L,White,2.0
235,BL107-M,BLOUSE,M,White,2.0
236,BL107-S,BLOUSE,S,White,15.0
237,BL107-XL,BLOUSE,XL,White,3.0
238,BL107-XS,BLOUSE,XS,White,6.0
239,BL107-XXL,BLOUSE,XXL,White,4.0
240,,BLOUSE,FREE,Gold,2.0
241,BL109-L,BLOUSE,L,Gold,23.0
242,BL109-M,BLOUSE,M,Gold,37.0
243,BL109-S,BLOUSE,S,Gold,34.0
244,BL109-XL,BLOUSE,XL,Gold,17.0
245,BL109-XS,BLOUSE,XS,Gold,15.0
246,BL109-XXL,BLOUSE,XXL,Gold,9.0
247,BL110-L,BLOUSE,L,Red,8.0
248,BL110-M,BLOUSE,M,Red,7.0
249,BL110-S,BLOUSE,S,Red,18.0
250,BL110-XL,BLOUSE,XL,Red,8.0
251,BL110-XS,BLOUSE,XS,Red,16.0
252,BL110-XXL,BLOUSE,XXL,Red,5.0
253,BL111-L,BLOUSE,L,Black,9.0
254,BL111-M,BLOUSE,M,Black,6.0
255,BL111-S,BLOUSE,S,Black,11.0
256,BL111-XL,BLOUSE,XL,Black,4.0
257,BL111-XS,BLOUSE,XS,Black,13.0
258,BL111-XXL,BLOUSE,XXL,Black,2.0
259,BL113-L,BLOUSE,L,Maroon,4.0
260,BL113-M,BLOUSE,M,Maroon,3.0
261,BL113-S,BLOUSE,S,Maroon,11.0
262,BL113-XL,BLOUSE,XL,Maroon,8.0
263,BL113-XS,BLOUSE,XS,Maroon,27.0
264,BL113-XXL,BLOUSE,XXL,Maroon,7.0
265,,BLOUSE,XXXL,Maroon,0.0
266,BL0115-S,BLOUSE,S,Olive,2.0
267,BTM002-L,PANT,L,White,61.0
268,BTM002-M,PANT,M,White,40.0
269,BTM002-S,PANT,S,White,85.0
270,BTM002-XL,PANT,XL,White,22.0
271,BTM002-XS,PANT,XS,White,158.0
272,BTM002-XXL,PANT,XXL,White,158.0
273,BTM002-XXXL,PANT,XXXL,White,194.0
274,BTM003-L,PANT,L,Maroon,32.0
275,BTM003-M,PANT,M,Maroon,25.0
276,BTM003-S,PANT,S,Maroon,35.0
277,BTM003-XL,PANT,XL,Maroon,24.0
278,BTM003-XS,PANT,XS,Maroon,40.0
279,BTM003-XXL,PANT,XXL,Maroon,4.0
280,BTM003-XXXL,PANT,XXXL,Maroon,4.0
281,BTM004-L,BOTTOM,L,White,1.0
282,BTM004-S,BOTTOM,S,White,2.0
283,BTM004-XL,BOTTOM,XL,White,3.0
284,BTM004-XS,BOTTOM,XS,White,0.0
285,BTM004-XXL,BOTTOM,XXL,White,2.0
286,BTM004-XXXL,BOTTOM,XXXL,White,3.0
287,BTM005-L,PANT,L,Black,398.0
288,BTM005-M,PANT,M,Black,250.0
289,BTM005-S,PANT,S,Black,347.0
290,BTM005-XL,PANT,XL,Black,75.0
291,BTM005-XS,PANT,XS,Black,88.0
292,BTM005-XXL,PANT,XXL,Black,21.0
293,BTM005-XXXL,PANT,XXXL,Black,59.0
294,BTM006-L,BOTTOM,L,Green,2.0
295,BTM006-M,BOTTOM,M,Green,2.0
296,BTM006-S,BOTTOM,S,Green,1.0
297,BTM006-XL,BOTTOM,XL,Green,3.0
298,BTM006-XS,BOTTOM,XS,Green,3.0
299,BTM006-XXL,BOTTOM,XXL,Green,3.0
300,BTM006-XXXL,BOTTOM,XXXL,Green,4.0
301,BTM007-L,BOTTOM,L,Beige,2.0
302,BTM007-M,BOTTOM,M,Beige,1.0
303,BTM007-S,BOTTOM,S,Beige,2.0
304,BTM007-XL,BOTTOM,XL,Beige,3.0
305,BTM007-XS,BOTTOM,XS,Beige,2.0
306,BTM007-XXL,BOTTOM,XXL,Beige,2.0
307,BTM008-L,PANT,L,Grey,6.0
308,BTM008-M,PANT,M,Grey,1.0
309,BTM008-S,PANT,S,Grey,5.0
310,BTM008-XL,PANT,XL,Grey,10.0
311,BTM008-XS,PANT,XS,Grey,21.0
312,BTM008-XXL,PANT,XXL,Grey,6.0
313,BTM008-XXXL,PANT,XXXL,Grey,15.0
314,BTM021-L,PANT,L,Navy Blue,136.0
315,BTM021-M,PANT,M,Navy Blue,63.0
316,BTM021-S,PANT,S,Navy Blue,134.0
317,BTM021-XL,PANT,XL,Navy Blue,176.0
318,BTM021-XS,PANT,XS,Navy Blue,41.0
319,BTM021-XXL,PANT,XXL,Navy Blue,92.0
320,BTM021-XXXL,PANT,XXXL,Navy Blue,102.0
321,BTM026-NP-L,PANT,L,Red,1.0
322,BTM026-NP-M,PANT,M,Red,6.0
323,BTM026-NP-S,PANT,S,Red,6.0
324,BTM026-NP-XL,PANT,XL,Red,0.0
325,BTM026-NP-XS,PANT,XS,Red,23.0
326,BTM026-NP-XXL,PANT,XXL,Red,0.0
327,BTM026-NP-XXXL,PANT,XXXL,Red,3.0
328,BTM027-NP-L,PANT,L,Green,14.0
329,BTM027-NP-M,PANT,M,Green,14.0
330,BTM027-NP-S,PANT,S,Green,37.0
331,BTM027-NP-XL,PANT,XL,Green,8.0
332,BTM027-NP-XS,PANT,XS,Green,25.0
333,BTM027-NP-XXL,PANT,XXL,Green,25.0
334,BTM027-NP-XXXL,PANT,XXXL,Green,16.0
335,BTM029-NP-L,PANT,L,Beige,2.0
336,BTM029-NP-M,PANT,M,Beige,4.0
337,BTM029-NP-S,PANT,S,Beige,1.0
338,BTM029-NP-XL,PANT,XL,Beige,2.0
339,BTM029-NP-XS,PANT,XS,Beige,2.0
340,BTM029-NP-XXL,PANT,XXL,Beige,0.0
341,BTM029-NP-XXXL,PANT,XXXL,Beige,1.0
342,BTM030-NP-L,PANT,L,Dark Green,0.0
343,BTM030-NP-M,PANT,M,Dark Green,1.0
344,BTM030-NP-S,PANT,S,Dark Green,8.0
345,BTM030-NP-XL,PANT,XL,Dark Green,1.0
346,BTM030-NP-XS,PANT,XS,Dark Green,7.0
347,BTM030-NP-XXL,PANT,XXL,Dark Green,1.0
348,BTM030-NP-XXXL,PANT,XXXL,Dark Green,5.0
349,BTM031-NP-L,PANT,L,Brown,43.0
350,BTM031-NP-M,PANT,M,Brown,6.0
351,BTM031-NP-S,PANT,S,Brown,56.0
352,BTM031-NP-XL,PANT,XL,Brown,13.0
353,BTM031-NP-XS,PANT,XS,Brown,20.0
354,BTM031-NP-XXL,PANT,XXL,Brown,56.0
355,BTM031-NP-XXXL,PANT,XXXL,Brown,50.0
356,BTM032-NP-L,PANT,L,Pink,1.0
357,BTM032-NP-M,PANT,M,Pink,1.0
358,BTM032-NP-S,PANT,S,Pink,2.0
359,BTM032-NP-XL,PANT,XL,Pink,1.0
360,BTM032-NP-XS,PANT,XS,Pink,5.0
361,BTM032-NP-XXL,PANT,XXL,Pink,3.0
362,BTM032-NP-XXXL,PANT,XXXL,Pink,1.0
363,BTM033-NP-L,PANT,L,Turquoise Blue,0.0
364,BTM033-NP-M,PANT,M,Turquoise Blue,1.0
365,BTM033-NP-S,PANT,S,Turquoise Blue,1.0
366,BTM033-NP-XL,PANT,XL,Turquoise Blue,1.0
367,BTM033-NP-XS,PANT,XS,Turquoise Blue,5.0
368,BTM033-NP-XXL,PANT,XXL,Turquoise Blue,3.0
369,BTM033-NP-XXXL,PANT,XXXL,Turquoise Blue,2.0
370,BTM035-NP-L,PANT,L,Mustard,0.0
371,BTM035-NP-M,PANT,M,Mustard,0.0
372,BTM035-NP-S,PANT,S,Mustard,4.0
373,BTM035-NP-XL,PANT,XL,Mustard,1.0
374,BTM035-NP-XS,PANT,XS,Mustard,12.0
375,BTM035-NP-XXL,PANT,XXL,Mustard,3.0
376,BTM035-NP-XXXL,PANT,XXXL,Mustard,4.0
377,BTM036-PP-L,PALAZZO,L,Red,3.0
378,BTM036-PP-M,PALAZZO,M,Red,10.0
379,BTM036-PP-S,PALAZZO,S,Red,8.0
380,BTM036-PP-XL,PALAZZO,XL,Red,6.0
381,BTM036-PP-XS,PALAZZO,XS,Red,33.0
382,BTM036-PP-XXL,PALAZZO,XXL,Red,3.0
383,BTM036-PP-XXXL,PALAZZO,XXXL,Red,6.0
384,BTM037-PP-L,PALAZZO,L,Teal,2.0
385,BTM037-PP-M,PALAZZO,M,Teal,4.0
386,BTM037-PP-S,PALAZZO,S,Teal,7.0
387,BTM037-PP-XL,PALAZZO,XL,Teal,3.0
388,BTM037-PP-XS,PALAZZO,XS,Teal,21.0
389,BTM037-PP-XXL,PALAZZO,XXL,Teal,3.0
390,BTM037-PP-XXXL,PALAZZO,XXXL,Teal,3.0
391,BTM038-PP-L,PALAZZO,L,Black,3.0
392,BTM038-PP-M,PALAZZO,M,Black,2.0
393,BTM038-PP-S,PALAZZO,S,Black,6.0
394,BTM038-PP-XL,PALAZZO,XL,Black,2.0
395,BTM038-PP-XS,PALAZZO,XS,Black,30.0
396,BTM038-PP-XXL,PALAZZO,XXL,Black,3.0
397,BTM038-PP-XXXL,PALAZZO,XXXL,Black,1.0
398,BTM039-PP-L,PALAZZO,L,White,2.0
399,BTM039-PP-M,PALAZZO,M,White,2.0
400,BTM039-PP-S,PALAZZO,S,White,4.0
401,BTM039-PP-XL,PALAZZO,XL,White,2.0
402,BTM039-PP-XS,PALAZZO,XS,White,11.0
403,BTM039-PP-XXL,PALAZZO,XXL,White,2.0
404,BTM039-PP-XXXL,PALAZZO,XXXL,White,4.0
405,BTM040-PP-L,PALAZZO,L,Brown,2.0
406,BTM040-PP-M,PALAZZO,M,Brown,4.0
407,BTM040-PP-S,PALAZZO,S,Brown,36.0
408,BTM040-PP-XL,PALAZZO,XL,Brown,3.0
409,BTM040-PP-XS,PALAZZO,XS,Brown,35.0
410,BTM040-PP-XXL,PALAZZO,XXL,Brown,4.0
411,BTM040-PP-XXXL,PALAZZO,XXXL,Brown,2.0
412,BTM041-PP-L,PALAZZO,L,Grey,6.0
413,BTM041-PP-M,PALAZZO,M,Grey,5.0
414,BTM041-PP-S,PALAZZO,S,Grey,51.0
415,BTM041-PP-XL,PALAZZO,XL,Grey,7.0
416,BTM041-PP-XS,PALAZZO,XS,Grey,50.0
417,BTM041-PP-XXL,PALAZZO,XXL,Grey,7.0
418,BTM041-PP-XXXL,PALAZZO,XXXL,Grey,7.0
419,BTM042-PP-L,PALAZZO,L,Mustard,3.0
420,BTM042-PP-M,PALAZZO,M,Mustard,3.0
421,BTM042-PP-S,PALAZZO,S,Mustard,29.0
422,BTM042-PP-XL,PALAZZO,XL,Mustard,3.0
423,BTM042-PP-XS,PALAZZO,XS,Mustard,55.0
424,BTM042-PP-XXL,PALAZZO,XXL,Mustard,6.0
425,BTM042-PP-XXXL,PALAZZO,XXXL,Mustard,3.0
426,BTM043-PP-L,PALAZZO,L,Khaki,2.0
427,BTM043-PP-M,PALAZZO,M,Khaki,2.0
428,BTM043-PP-S,PALAZZO,S,Khaki,4.0
429,BTM043-PP-XL,PALAZZO,XL,Khaki,3.0
430,BTM043-PP-XS,PALAZZO,XS,Khaki,8.0
431,BTM043-PP-XXL,PALAZZO,XXL,Khaki,3.0
432,BTM043-PP-XXXL,PALAZZO,XXXL,Khaki,3.0
433,BTM044-PP-L,PALAZZO,L,Maroon,2.0
434,BTM044-PP-M,PALAZZO,M,Maroon,3.0
435,BTM044-PP-S,PALAZZO,S,Maroon,5.0
436,BTM044-PP-XL,PALAZZO,XL,Maroon,2.0
437,BTM044-PP-XS,PALAZZO,XS,Maroon,55.0
438,BTM044-PP-XXL,PALAZZO,XXL,Maroon,3.0
439,BTM044-PP-XXXL,PALAZZO,XXXL,Maroon,5.0
440,BTM045-PP-L,PALAZZO,L,Olive Green,4.0
441,BTM045-PP-M,PALAZZO,M,Olive Green,3.0
442,BTM045-PP-S,PALAZZO,S,Olive Green,34.0
443,BTM045-PP-XL,PALAZZO,XL,Olive Green,4.0
444,BTM045-PP-XS,PALAZZO,XS,Olive Green,26.0
445,BTM045-PP-XXL,PALAZZO,XXL,Olive Green,24.0
446,BTM045-PP-XXXL,PALAZZO,XXXL,Olive Green,6.0
447,BTM046-PP-L,PALAZZO,L,Navy Blue,3.0
448,BTM046-PP-M,PALAZZO,M,Navy Blue,10.0
449,BTM046-PP-S,PALAZZO,S,Navy Blue,29.0
450,BTM046-PP-XL,PALAZZO,XL,Navy Blue,3.0
451,BTM046-PP-XS,PALAZZO,XS,Navy Blue,27.0
452,BTM046-PP-XXL,PALAZZO,XXL,Navy Blue,2.0
453,BTM046-PP-XXXL,PALAZZO,XXXL,Navy Blue,3.0
454,BTM047-PP-L,PALAZZO,L,Pink,3.0
455,BTM047-PP-M,PALAZZO,M,Pink,10.0
456,BTM047-PP-S,PALAZZO,S,Pink,15.0
457,BTM047-PP-XL,PALAZZO,XL,Pink,6.0
458,BTM047-PP-XS,PALAZZO,XS,Pink,32.0
459,BTM047-PP-XXL,PALAZZO,XXL,Pink,11.0
460,BTM047-PP-XXXL,PALAZZO,XXXL,Pink,4.0
461,BTM048-PP-L,PALAZZO,L,Green,3.0
462,BTM048-PP-M,PALAZZO,M,Green,3.0
463,BTM048-PP-S,PALAZZO,S,Green,6.0
464,BTM048-PP-XL,PALAZZO,XL,Green,2.0
465,BTM048-PP-XS,PALAZZO,XS,Green,51.0
466,BTM048-PP-XXL,PALAZZO,XXL,Green,16.0
467,BTM048-PP-XXXL,PALAZZO,XXXL,Green,16.0
468,BTM049-SHA-L,SHARARA,L,TEAL BLUE ,19.0
469,BTM049-SHA-M,SHARARA,M,TEAL BLUE ,22.0
470,BTM049-SHA-S,SHARARA,S,TEAL BLUE ,29.0
471,BTM049-SHA-XL,SHARARA,XL,TEAL BLUE ,25.0
472,BTM049-SHA-XXL,SHARARA,XXL,TEAL BLUE ,28.0
473,BTM050-SHA-L,SHARARA,L,Cream,20.0
474,BTM050-SHA-M,SHARARA,M,Cream,25.0
475,BTM050-SHA-S,SHARARA,S,Cream,26.0
476,BTM050-SHA-XL,SHARARA,XL,Cream,23.0
477,BTM050-SHA-XXL,SHARARA,XXL,Cream,25.0
478,BTM051-SHA-L,SHARARA,L,Black,28.0
